Model,Condition,Fold,F1,Recall,Precision,ROC_AUC
MLP,With SMOTE,8,0.3,0.375,0.25,0.7562316715542522
MLP,With SMOTE,9,0.20512820512820512,0.25,0.17391304347826086,0.7861070381231672
MLP,With SMOTE,10,0.2,0.375,0.13636363636363635,0.7793255131964809
Decision Tree,With SMOTE,1,0.2916666666666667,0.4375,0.21875,0.6822002923976609
Decision Tree,With SMOTE,2,0.10810810810810811,0.125,0.09523809523809523,0.5347222222222222
Decision Tree,With SMOTE,3,0.22857142857142856,0.25,0.21052631578947367,0.6030701754385965
Decision Tree,With SMOTE,4,0.10810810810810811,0.125,0.09523809523809523,0.5347222222222222
Decision Tree,With SMOTE,5,0.10810810810810811,0.125,0.09523809523809523,0.5347222222222222
Decision Tree,With SMOTE,6,0.08695652173913043,0.125,0.06666666666666667,0.5215643274853802
Decision Tree,With SMOTE,7,0.17777777777777778,0.25,0.13793103448275862,0.5884502923976609
Decision Tree,With SMOTE,8,0.13636363636363635,0.1875,0.10714285714285714,0.5570931085043987
Decision Tree,With SMOTE,9,0.18867924528301888,0.3125,0.13513513513513514,0.6093291788856304
Decision Tree,With SMOTE,10,0.125,0.1875,0.09375,0.5512280058651026
Random Forest,With SMOTE,1,0.13793103448275862,0.125,0.15384615384615385,0.8062865497076023
Random Forest,With SMOTE,2,0.0,0.0,0.0,0.7623355263157896
Random Forest,With SMOTE,3,0.09523809523809523,0.0625,0.2,0.8784722222222222
Random Forest,With SMOTE,4,0.0,0.0,0.0,0.7935855263157895
Random Forest,With SMOTE,5,0.14814814814814814,0.125,0.18181818181818182,0.7870065789473685
Random Forest,With SMOTE,6,0.06896551724137931,0.0625,0.07692307692307693,0.7182931286549707
Random Forest,With SMOTE,7,0.09090909090909091,0.0625,0.16666666666666666,0.7905701754385965
Random Forest,With SMOTE,8,0.2857142857142857,0.25,0.3333333333333333,0.7964626099706744
Random Forest,With SMOTE,9,0.0,0.0,0.0,0.8144244868035191
Random Forest,With SMOTE,10,0.08333333333333333,0.0625,0.125,0.8333027859237536
Gradient Boosting,With SMOTE,1,0.13793103448275862,0.125,0.15384615384615385,0.7897478070175439
Gradient Boosting,With SMOTE,2,0.2222222222222222,0.1875,0.2727272727272727,0.7870979532163742
Gradient Boosting,With SMOTE,3,0.07692307692307693,0.0625,0.1,0.8530701754385965
Gradient Boosting,With SMOTE,4,0.16666666666666666,0.125,0.25,0.7760416666666666
Gradient Boosting,With SMOTE,5,0.12903225806451613,0.125,0.13333333333333333,0.7970577485380117
Gradient Boosting,With SMOTE,6,0.10526315789473684,0.125,0.09090909090909091,0.7692799707602339
Gradient Boosting,With SMOTE,7,0.0,0.0,0.0,0.8283991228070176
Gradient Boosting,With SMOTE,8,0.22857142857142856,0.25,0.21052631578947367,0.7982038123167156
Gradient Boosting,With SMOTE,9,0.20689655172413793,0.1875,0.23076923076923078,0.7928885630498533
Gradient Boosting,With SMOTE,10,0.07142857142857142,0.0625,0.08333333333333333,0.7877565982404693
